Message "Average power(Watts)" time threshold Frecuenzy Energy
800000-threshold-0 6.783333333333334 96.64333333333333 0 800000 655.5639444444445
900000-threshold-0 6.796666666666668 96.20333333333333 0 900000 653.861988888889
1000000-threshold-0 8.626666666666667 70.91166666666666 0 1000000 611.731311111111
1100000-threshold-0 9.053333333333333 68.675 0 1100000 621.7376666666667
1200000-threshold-0 9.459999999999997 68.46833333333332 0 1200000 647.7104333333331
1300000-threshold-0 9.581666666666669 63.195 0 1300000 605.5134250000001
1400000-threshold-0 9.731666666666667 64.54333333333334 0 1400000 628.1142055555556
1500000-threshold-0 11.431666666666667 54.678333333333335 0 1500000 625.0644805555555
1600000-threshold-0 9.886666666666667 63.701666666666675 0 1600000 629.7971444444445
1700000-threshold-0 10.81 60.915 0 1700000 658.4911500000001
800000-threshold-50 5.588333333333334 115.85833333333333 50 800000 647.4549861111112
900000-threshold-50 7.073333333333333 93.46 50 900000 661.0737333333333
1000000-threshold-50 7.68 83.55499999999999 50 1000000 641.7023999999999
1100000-threshold-50 7.908333333333334 81.19333333333333 50 1100000 642.1039444444444
1200000-threshold-50 9.989999999999998 65.16833333333334 50 1200000 651.0316499999999
1300000-threshold-50 11.035000000000002 54.77166666666667 50 1300000 604.4053416666668
1400000-threshold-50 10.895000000000001 57.22666666666667 50 1400000 623.4845333333334
1500000-threshold-50 10.393333333333333 60.078333333333326 50 1500000 624.4141444444443
1600000-threshold-50 11.108333333333334 58.11166666666666 50 1600000 645.5237638888889
1700000-threshold-50 10.473333333333336 58.625 50 1700000 613.9991666666668
800000-threshold-100 6.386666666666666 104.19333333333333 100 800000 665.4480888888887
900000-threshold-100 7.166666666666664 83.55999999999999 100 900000 598.8466666666664
1000000-threshold-100 7.630000000000003 82.94 100 1000000 632.8322000000002
1100000-threshold-100 8.526666666666666 68.885 100 1100000 587.3594333333333
1200000-threshold-100 8.49 65.605 100 1200000 556.9864500000001
1300000-threshold-100 10.128333333333332 56.916666666666664 100 1300000 576.4709722222221
1400000-threshold-100 11.621666666666668 50.698333333333345 100 1400000 589.1991305555557
1500000-threshold-100 11.798333333333332 49.86833333333333 100 1500000 588.3632194444443
1600000-threshold-100 10.873333333333335 57.04833333333334 100 1600000 620.3055444444446
1700000-threshold-100 12.858333333333334 46.60166666666667 100 1700000 599.2197638888889
800000-threshold-150 7.243333333333332 83.28833333333334 150 800000 603.285161111111
900000-threshold-150 7.0183333333333335 89.68333333333332 150 900000 629.4275277777778
1000000-threshold-150 7.758333333333333 79.70166666666667 150 1000000 618.3520972222221
1100000-threshold-150 8.763333333333334 66.27166666666666 150 1100000 580.7607055555555
1200000-threshold-150 9.565 59.973333333333336 150 1200000 573.6449333333334
1300000-threshold-150 9.768333333333333 60.32666666666666 150 1300000 589.2909888888888
1400000-threshold-150 10.556666666666667 53.72666666666667 150 1400000 567.1745111111111
1500000-threshold-150 10.174999999999999 60.89666666666667 150 1500000 619.6235833333333
1600000-threshold-150 11.798333333333334 56.57999999999999 150 1600000 667.5496999999999
1700000-threshold-150 13.275 45.51 150 1700000 604.14525
